MAG_AUTO_u	MAG_AUTO_g	MAG_AUTO_r	MAG_AUTO_i	u-r	r-i	class
continuous	continuous	continuous	continuous	continuous	continuous	0 1
						class
21.3336	20.8335	20.6517	20.5693	0.682	0.082	1
22.3609	20.7536	20.4125	20.3137	1.948	0.099	1
21.0292	20.3103	20.2585	20.2090	0.771	0.049	1
20.8129	20.2945	20.1713	20.1733	0.642	-0.002	1
19.3310	18.5174	18.3212	18.2451	1.010	0.076	1
20.4389	20.1839	20.1474	20.0227	0.292	0.125	1
22.2133	21.5964	21.3901	21.3173	0.823	0.073	1
21.9549	21.5099	21.4884	21.4537	0.467	0.035	1
23.4252	22.0203	21.7978	21.5530	1.627	0.245	1
21.6323	21.1225	20.9871	21.1291	0.645	-0.142	1
22.1059	21.5780	21.4957	21.3133	0.610	0.182	1
21.9076	21.2775	21.3529	21.1744	0.555	0.178	1
22.4228	21.5883	21.6205	21.4959	0.802	0.125	1
22.5856	21.9089	21.9991	22.0108	0.587	-0.012	1
22.7140	21.3266	21.1912	21.2904	1.523	-0.099	1
24.1130	21.6244	21.6993	21.8313	2.414	-0.132	1
20.6940	20.3018	20.1028	20.0347	0.591	0.068	1
20.4868	20.0971	19.5966	19.6270	0.890	-0.030	1
22.6084	22.0535	21.7947	21.5937	0.814	0.201	1
21.3662	20.5681	20.4233	20.4559	0.943	-0.033	1
21.6429	21.1689	21.2121	20.9764	0.431	0.236	1
20.9953	20.3042	19.7721	19.6070	1.223	0.165	1
21.7093	21.1372	21.2290	20.9843	0.480	0.245	1
20.2683	19.6493	19.5893	19.6003	0.679	-0.011	1
20.1876	19.8353	19.6863	19.6122	0.501	0.074	1
18.3738	18.0944	17.8223	17.6679	0.552	0.154	1
22.2143	21.8354	21.5818	21.5212	0.632	0.061	1
21.2320	20.6374	20.1513	19.8800	1.081	0.271	1
21.8638	21.5407	21.4941	21.2926	0.370	0.201	1
22.2091	21.0743	21.0714	20.6754	1.138	0.396	1
20.9641	20.4197	20.4189	20.3303	0.545	0.089	1
21.3414	21.5378	21.5173	21.3820	-0.176	0.135	1
21.7926	21.0165	21.2162	20.9866	0.576	0.230	1
21.1067	20.5732	20.1337	20.0893	0.973	0.044	1
22.5249	22.1635	21.9175	21.3570	0.607	0.560	1
23.4336	21.0106	20.4936	20.2992	2.940	0.194	1
22.3417	21.4547	21.3398	21.2149	1.002	0.125	1
21.4960	21.3666	20.7831	20.5286	0.713	0.254	1
22.1203	20.5578	20.4212	20.2050	1.699	0.216	1
20.4965	20.0356	19.9521	20.0156	0.544	-0.063	1
21.2352	20.5256	20.4447	20.2807	0.791	0.164	1
22.2166	21.4253	21.1215	20.7335	1.095	0.388	1
21.4841	20.8282	20.7775	20.8387	0.707	-0.061	1
22.0073	21.8967	21.6682	21.2823	0.339	0.386	1
21.5140	20.7671	20.4542	20.2866	1.060	0.168	1
21.1758	20.8459	20.6207	20.5257	0.555	0.095	1
20.0744	19.2534	18.8141	18.4461	1.260	0.368	1
22.3802	21.3455	20.4713	19.9138	1.909	0.558	1
21.4300	20.8659	20.9114	20.7133	0.519	0.198	1
20.5866	19.8754	19.6446	19.5907	0.942	0.054	1
19.4101	18.8766	18.7662	18.6400	0.644	0.126	1
22.0792	21.5159	21.3125	21.0176	0.767	0.295	1
21.5564	20.3728	20.2779	20.1441	1.278	0.134	1
21.1158	20.5069	20.4352	20.1304	0.681	0.305	1
21.7309	21.1811	20.9202	20.7841	0.811	0.136	1
22.0539	21.2893	21.0938	20.5214	0.960	0.572	1
21.7459	20.9655	20.9500	20.9294	0.796	0.021	1
20.5528	20.2651	19.9171	19.7241	0.636	0.193	1
20.2874	19.9838	19.6488	19.3300	0.639	0.319	1
21.3230	21.0234	20.8773	20.6608	0.446	0.216	1
23.1141	21.9927	21.8011	21.9722	1.313	-0.171	1
22.3896	20.3129	19.7013	19.9253	2.688	-0.224	1
21.7874	20.9763	21.0918	21.1554	0.696	-0.064	1
20.3146	19.4364	19.3035	19.3635	1.011	-0.060	1
21.8536	21.5809	21.7600	21.5733	0.094	0.187	1
20.7670	20.5115	20.2633	20.2940	0.504	-0.031	1
23.9826	22.2411	21.8621	21.9412	2.120	-0.079	1
21.4771	21.2737	20.9763	20.9867	0.501	-0.010	1
20.9300	20.5259	19.9559	19.9464	0.974	0.010	1
20.9118	20.4543	20.3937	20.4397	0.518	-0.046	1
21.5159	21.1592	21.1054	21.3950	0.410	-0.290	1
21.2587	20.4579	20.5167	20.6363	0.742	-0.120	1
23.2759	21.3853	21.0376	21.1411	2.238	-0.104	1
21.6509	20.9018	20.8140	20.9607	0.837	-0.147	1
21.2100	20.8274	20.3070	20.4361	0.903	-0.129	1
23.0657	21.5885	21.3812	21.5845	1.684	-0.203	1
20.9140	20.0812	19.8877	20.0548	1.026	-0.167	1
22.5085	21.2910	20.9777	20.8646	1.531	0.113	1
21.0980	20.5112	20.4793	20.3136	0.619	0.166	1
20.9135	19.7261	18.3691	19.9019	2.544	-1.533	1
